"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary,Fog_Index,Flesch_Index,Flesch-Kncaid,Lix-Index,Rix-Index
D:/Python_10K_Analysis/Test01/2011\1000180.txt,17760258,6479,1.0804136440808767,0.7871585121160672,0.895199876524155,0.40129649637289705,0.21608272881617532,0.23151720944590218,0.1389103256675413,0.40129649637289705,38370,635,225,1.8637135360395123,5.473375520913721,1304,19.38504501723517,25.640501517723948,15.277819725266248,58.35611462674281,6.920539730134933
D:/Python_10K_Analysis/Test01/2011\1000209.txt,2930624,5363,0.522095841879545,0.6339735222823046,1.0628379638262166,0.4848032817452918,0.22375536080551933,0.3915718814096587,0.37292560134253216,0.5593884020137982,35934,1856,524,1.8769345515569644,5.56404997203058,1053,20.148680949768778,25.00942822458788,15.246541401318238,60.38475477046893,8.163672654690618
D:/Python_10K_Analysis/Test01/2011\1000229.txt,13604206,6793,1.3837774179302222,1.634035036066539,1.884292654202856,1.162961872515825,1.0451935816281466,0.2796996908582364,0.22081554541439719,1.0746356543500664,38892,521,189,1.89371411747387,5.573237155895775,1413,21.920679494546093,18.374789693968665,17.448366908772314,66.43131746152349,9.643636363636364
D:/Python_10K_Analysis/Test01/2011\1000230.txt,1782507,5874,0.6639427987742594,1.4470548178413347,0.8682328907048007,1.4981273408239701,0.28941096356826695,0.30643513789581206,0.1191692202928158,0.35750766087844743,38466,920,304,1.9874021109976165,5.819713993871297,1190,21.042514665907557,13.815904360421314,17.260115401575156,63.72307250065585,8.171929824561403
D:/Python_10K_Analysis/Test01/2011\1000232.txt,3406450,6444,0.6207324643078833,2.1570453134698946,2.7622594661700806,1.5207945375543142,0.915580384854128,0.29484792054624454,0.5431409062693979,1.2104283054003724,38837,774,251,1.9065797641216635,5.58659217877095,1321,21.594182850048774,19.13335195530729,16.890498359492774,64.2430610978097,8.852575488454708
D:/Python_10K_Analysis/Test01/2011\1000278.txt,1564858,6465,0.974477958236659,1.0208816705336428,1.051817478731632,0.8352668213457077,0.3402938901778809,0.3866976024748647,0.3866976024748647,0.37122969837587005,36801,1557,478,1.8051044083526682,5.388553750966744,1314,17.386314518868673,33.23087733373811,13.574904915757745,55.54621939848646,6.968036529680365
D:/Python_10K_Analysis/Test01/2011\1000298.txt,3408253,5947,0.9080208508491677,2.993105767613923,1.5133680847486128,1.1602488649739364,0.6053472338994451,0.2522280141247688,0.3531192197746763,0.8239448461409113,38421,727,258,1.9525811333445435,5.740877753489154,1254,22.648365276927326,12.723971024712,18.400693222522218,68.593336262774,10.237791932059448
D:/Python_10K_Analysis/Test01/2011\100122.txt,10337337,3962,0.4543160020191822,0.4290762241292277,0.5047955577990914,0.9843513377082282,0.05047955577990913,0.2271580010095911,0.20191822311963653,0.4543160020191822,34146,1401,540,2.0002523977788997,5.787228672387683,916,21.71994187202668,12.79134411760208,17.387705566518292,63.18425649733071,8.818181818181818
D:/Python_10K_Analysis/Test01/2011\1001233.txt,1185164,6032,1.0941644562334218,1.840185676392573,1.0775862068965518,0.3978779840848806,0.33156498673740054,0.5305039787798408,0.1326259946949602,0.3149867374005305,38299,848,301,1.8441644562334218,5.494363395225464,1422,18.32621672069948,27.692835150800647,14.894029472443268,58.18291580705374,7.612676056338028
D:/Python_10K_Analysis/Test01/2011\1001316.txt,2095854,6293,1.0487843635785794,1.7956459558239313,1.493723184490704,0.6674082313681869,0.5402828539647228,0.4608294930875576,0.3495947878595264,0.5085015096138567,37885,1063,339,1.8603209915779437,5.520260607023677,1490,19.20661644898027,25.16828067967012,15.52951158121675,59.902763909674576,7.691275167785235
D:/Python_10K_Analysis/Test01/2011\1001604.txt,11769022,6122,1.5354459327017316,0.5390395295655015,1.4537732767069584,0.3103560927801372,0.35935968637700094,0.24501796798431885,0.44103234237177397,0.42469781117281935,35599,1304,426,1.9294348252205162,5.645540672982685,1269,21.21630421430905,18.29949378634433,16.737650937602094,64.1319072198628,9.316698656429942
D:/Python_10K_Analysis/Test01/2011\1001606.txt,3197424,6477,0.6021306160259379,2.285008491585611,2.3313262312799137,1.0807472595337346,1.3586536976995522,0.5403736297668673,0.16983171221244403,0.8491585610622201,38630,607,220,1.8422109001080746,5.471668982553651,1259,19.82858245660469,24.44604118419022,16.182017192703853,61.13545181852268,7.792869269949066
