"file name,","file size,","number of words,","% positive,","% negative,","% uncertainty,","% litigious,","% modal-weak,","% modal moderate,","% modal strong,","% constraining,","# of alphabetic,","# of digits,","# of numbers,","avg # of syllables per word,","average word length,",vocabulary,Fog_Index,Flesch_Index,Flesch-Kncaid,Lix-Index,Rix-Index
D:/Python_10K_Analysis/Test01/2012\1000228.txt,16243100,6136,1.0104302477183833,1.4341590612777053,1.2385919165580181,1.8252933507170794,0.5378096479791394,0.3748370273794003,0.24445893089960888,1.0756192959582789,37176,695,246,1.9478487614080835,5.845827900912647,1320,21.975199188758513,14.981439229320586,17.631282051282056,67.07945820657685,10.007984031936127
D:/Python_10K_Analysis/Test01/2012\1000229.txt,15186400,6951,1.3667098259243275,1.7407567256509853,1.8702344986332904,1.3523234067040713,1.0645950222989498,0.2733419651848655,0.21579628830384118,1.1509135376204862,40269,454,142,1.8929650410012948,5.574593583657028,1439,27.70362632525196,3.9930617229072425,22.98986173531229,80.53801848181065,11.58458244111349
D:/Python_10K_Analysis/Test01/2012\1000230.txt,5727589,5940,0.7239057239057239,1.0606060606060608,0.7407407407407408,0.9090909090909091,0.20202020202020202,0.26936026936026936,0.10101010101010101,0.3703703703703704,38699,813,272,1.9947811447811448,5.843097643097643,1179,20.515038020656,15.04561627511066,16.63482200279953,62.43237619642114,8.119047619047619
D:/Python_10K_Analysis/Test01/2012\1000278.txt,2506173,5789,0.9328035930212472,1.105544999136293,1.0364484366902746,0.9500777336327518,0.3109345310070824,0.2763862497840732,0.34548281223009153,0.4318535152876144,34917,1389,431,1.8129210571774055,5.414752116082225,1231,17.84127122433012,31.409544003967994,14.112872886458094,56.3150453954254,7.140845070422535
D:/Python_10K_Analysis/Test01/2012\1000298.txt,6494232,5979,0.7526342197691922,2.2746278641913364,1.4885432346546246,1.053687907676869,0.7191838100016725,0.2508780732563974,0.2676032781401572,0.9366114734905503,38564,646,231,1.9481518648603446,5.72353236327145,1257,23.36661516628331,11.528357183309879,18.951805866738205,70.67611309550423,11.344110854503464
D:/Python_10K_Analysis/Test01/2012\1000623.txt,20868217,6390,0.8137715179968702,1.07981220657277,1.3615023474178403,0.6572769953051643,0.4068857589984351,0.26604068857589985,0.1564945226917058,0.5164319248826291,39451,865,268,1.8737089201877934,5.505320813771518,1251,21.35385294709706,20.95698468821226,16.870429158630905,63.807167579010255,7.332307692307692
D:/Python_10K_Analysis/Test01/2012\1000683.txt,2562122,6409,0.8425651427679824,0.46809174598221254,0.904977375565611,0.4368856295833983,0.2808550475893275,0.2652519893899204,0.31206116398814165,0.46809174598221254,39296,726,226,1.9300982992666562,5.662193789982837,1422,21.673332368324914,16.973643721398332,17.233352702430878,66.15087655975752,9.904397705544934
D:/Python_10K_Analysis/Test01/2012\1000694.txt,4899254,6593,1.0313969361443955,1.53192780221447,1.0617321401486424,0.6370392840891855,0.5915364780828152,0.6370392840891855,0.5612012740785681,0.5915364780828152,39418,569,182,1.9067192476869408,5.5980585469437285,1426,21.49304921951669,16.478709765342927,17.907620456039233,67.12561561666674,9.2875226039783
D:/Python_10K_Analysis/Test01/2012\1000697.txt,15620346,5939,0.6735140596059942,0.9597575349385419,1.2123253072907898,0.6398383566256945,0.40410843576359656,0.40410843576359656,0.16837851490149855,0.4209462872537464,39240,607,200,2.017848122579559,5.9075601953190775,1389,22.291039445244337,11.070620258340767,17.684526213785738,67.8003381315483,9.855238095238095
D:/Python_10K_Analysis/Test01/2012\1000753.txt,10030649,6106,1.0153946937438585,0.982640026203734,1.2446773665247297,1.1627906976744187,0.2456600065509335,0.2456600065509335,0.1965280052407468,0.2947920078611202,37555,700,265,1.9854241729446447,5.892892237143793,1354,23.42896080956377,10.118617251988098,18.721703870883797,71.2812130294777,11.572052401746724
